,P_degree
0,57
1,63
2,64
3,79
4,64
5,71
6,74
7,93
8,101
9,20
10,80
11,58
12,42
13,24
14,109
15,49
16,64
17,101
18,57
19,20
20,67
21,69
22,51
23,57
24,97
25,73
26,58
27,87
28,86
29,39
30,48
31,44
32,67
33,36
34,38
35,20
36,77
37,103
38,70
39,15
40,36
41,75
42,97
43,59
44,61
45,122
46,64
47,114
48,55
49,107
50,56
51,40
52,48
53,34
54,70
55,98
56,64
57,114
58,103
59,60
60,20
61,97
62,56
63,41
64,70
65,73
66,35
67,32
68,91
69,71
70,78
71,52
72,43
73,98
74,40
75,2
76,96
77,86
78,59
79,54
80,97
81,50
82,57
83,54
84,70
85,89
86,79
87,83
88,19
89,71
90,66
91,39
92,84
93,85
94,96
95,54
96,37
97,62
98,70
99,63
100,67
101,37
102,61
103,80
104,45
105,52
106,67
107,82
108,50
109,82
110,62
111,92
112,56
113,30
114,20
115,69
116,39
117,74
118,86
119,96
120,59
121,100
122,106
123,56
124,102
125,85
126,106
127,95
128,20
129,93
130,57
131,22
132,28
133,102
134,70
135,73
136,74
137,63
138,22
139,93
140,82
141,63
142,68
143,81
144,68
145,85
146,79
147,33
148,75
149,11
150,66
151,79
152,82
153,48
154,63
155,80
156,75
157,46
158,64
159,4
160,43
161,46
162,107
163,55
164,62
165,102
166,53
167,66
168,65
169,86
170,72
171,18
172,78
173,97
174,91
175,105
176,50
177,96
178,115
179,58
180,60
181,62
182,73
183,53
184,92
185,13
186,33
187,46
188,51
189,84
190,109
191,92
192,87
193,72
194,58
195,45
196,29
197,56
198,64
199,12
200,66
201,45
202,80
203,76
204,80
205,76
206,49
207,84
208,61
209,55
210,65
211,42
212,102
213,95
214,77
215,81
216,100
217,71
218,97
219,55
220,66
221,6
222,96
223,85
224,46
225,65
226,44
227,38
228,36
229,58
230,45
231,80
232,47
233,46
234,44
235,54
236,98
237,64
238,53
239,65
240,54
241,96
242,67
243,60
244,47
245,28
246,91
247,54
248,100
249,62
250,137
251,54
252,67
253,91
254,45
255,68
256,75
257,51
258,54
259,55
260,59
261,119
262,76
263,29
264,58
265,106
266,81
267,58
268,175
269,42
270,45
271,17
272,65
273,94
274,98
275,56
276,78
277,79
278,71
279,56
280,76
281,81
282,40
283,62
284,39
285,64
286,84
287,61
288,40
289,84
290,112
291,72
292,63
293,83
294,82
295,90
296,33
297,93
298,47
299,68
300,55
301,76
302,100
303,71
304,60
305,74
306,56
307,114
308,95
309,116
310,78
311,77
312,57
313,34
314,56
315,36
316,50
317,64
318,83
319,53
320,94
321,85
322,37
323,95
324,99
325,66
326,72
327,58
328,57
329,85
330,130
331,50
332,89
333,80
334,58
335,69
336,62
337,58
338,66
339,63
340,36
341,45
342,59
343,96
344,105
345,87
346,80
347,30
348,20
349,68
350,68
351,11
352,103
353,99
354,52
355,60
356,59
357,42
358,77
359,74
360,67
361,34
362,54
363,93
364,58
365,75
366,95
367,83
368,93
369,81
370,49
371,67
372,42
373,73
374,96
375,35
376,43
377,95
378,111
379,79
380,70
381,70
382,74
383,34
384,62
385,49
386,56
387,65
388,14
389,38
390,58
391,51
392,84
393,101
394,94
395,66
396,45
397,44
398,58
399,100
400,25
401,77
402,68
403,78
404,42
405,44
406,19
407,66
408,72
409,20
410,91
411,78
412,82
413,55
414,56
415,11
416,60
417,64
418,107
419,28
420,84
421,112
422,49
423,88
424,67
425,75
426,27
427,64
428,72
429,83
430,76
431,80
432,77
433,81
434,84
435,94
436,71
437,57
438,65
439,31
440,86
441,77
442,54
443,68
444,54
445,48
446,72
447,108
448,56
449,92
450,11
451,47
452,34
453,111
454,99
455,45
456,40
457,61
458,92
459,119
460,15
461,50
462,63
463,59
464,81
465,57
466,115
467,77
468,70
469,64
470,101
471,57
472,81
473,64
474,2
475,108
476,57
477,51
478,68
479,78
480,73
481,49
482,69
483,70
484,102
485,54
486,87
487,115
488,75
489,85
490,36
491,84
492,64
493,60
494,65
495,80
496,52
497,36
498,108
499,48
500,67
501,51
502,80
503,47
504,59
505,61
506,42
507,47
508,72
509,46
510,117
511,46
512,105
513,69
514,87
515,60
516,20
517,25
518,34
519,59
520,95
521,68
522,85
523,125
524,58
525,94
526,44
527,63
528,34
529,88
530,60
531,37
532,60
533,71
534,48
535,76
536,46
537,110
538,69
539,90
540,58
541,48
542,37
543,15
544,96
545,65
546,95
547,66
548,96
549,86
550,48
551,75
552,33
553,75
554,70
555,82
556,87
557,86
558,70
559,71
560,77
561,88
562,61
563,95
564,35
565,53
566,54
567,48
568,112
569,74
570,87
571,48
572,69
573,30
574,88
575,61
576,84
577,94
578,62
579,86
580,58
581,71
582,95
583,50
584,76
585,20
586,108
587,57
