,classes_degree
0,1
1,10
2,32
3,16
4,19
5,1
6,17
7,15
8,28
9,1
10,25
11,4
12,21
13,18
14,1
15,3
16,3
17,1
18,3
19,17
20,14
21,20
22,12
23,12
24,1
25,1
26,15
27,29
28,15
29,7
30,1
31,1
32,3
33,9
34,11
35,20
36,19
37,19
38,8
39,5
40,19
41,10
42,1
43,8
44,1
45,4
46,18
47,6
48,12
49,12
50,2
51,17
52,2
53,11
54,4
55,26
56,20
57,21
58,2
59,17
60,20
61,2
62,4
63,5
64,19
65,18
66,16
67,19
68,20
69,22
70,1
71,16
72,7
73,12
74,4
75,11
76,1
77,27
78,1
79,14
80,14
81,24
82,12
83,18
84,26
85,10
86,19
87,16
88,15
89,15
90,3
91,15
92,18
93,2
94,2
95,6
96,1
97,37
98,1
99,11
100,17
101,16
102,26
103,9
104,20
105,6
106,15
107,11
108,25
109,1
110,17
111,1
112,11
113,20
114,19
115,25
116,1
117,22
118,14
119,2
120,12
121,17
122,18
123,27
124,20
125,27
126,11
127,15
128,11
129,28
130,1
131,24
132,2
133,53
134,23
135,14
136,14
137,2
138,22
139,11
140,24
141,8
142,1
143,29
144,16
145,1
146,16
147,12
148,15
149,16
150,23
151,24
152,13
153,15
154,16
155,8
156,17
157,17
158,11
159,18
160,19
161,14
162,12
163,19
164,25
165,1
166,1
167,18
168,1
169,1
170,19
171,25
172,2
173,10
174,14
175,13
176,17
177,19
178,11
179,1
180,21
181,16
182,1
183,2
184,11
185,16
186,7
187,36
188,9
189,8
190,3
191,28
192,21
193,13
194,6
195,22
196,3
197,19
198,2
199,18
200,12
201,10
202,12
203,2
204,13
205,12
206,4
207,4
208,2
209,12
210,18
211,1
212,2
213,2
214,13
215,18
216,13
217,24
218,21
219,1
220,20
221,6
222,13
223,21
224,1
225,12
226,20
227,1
228,19
229,15
230,24
231,14
232,10
233,8
234,3
235,20
236,3
237,26
238,24
239,11
240,18
241,3
242,29
243,19
244,1
245,17
246,13
247,1
248,24
249,11
250,15
251,25
252,14
253,19
254,21
255,10
256,20
257,15
258,6
259,1
260,5
261,5
262,9
263,11
264,1
265,2
266,9
267,14
268,11
269,2
270,12
271,11
272,14
273,10
274,15
275,1
276,10
277,19
278,27
279,12
280,17
281,13
282,15
283,2
284,11
285,20
286,18
287,15
288,19
289,15
290,1
291,5
292,6
293,17
294,17
295,23
296,19
297,12
298,3
299,13
300,13
301,1
302,1
303,16
304,17
305,8
306,14
307,17
308,22
309,16
310,16
311,8
312,14
313,10
314,2
315,13
316,2
317,12
318,14
319,15
320,2
321,16
322,13
323,14
324,16
325,13
326,20
327,19
328,1
329,3
330,12
331,15
332,12
333,9
334,1
335,13
336,17
337,1
338,9
339,30
340,16
341,7
342,8
343,17
344,1
345,12
346,14
347,6
348,12
349,1
350,2
351,14
352,19
353,30
354,7
355,28
356,2
357,1
358,16
359,8
360,1
361,21
362,1
363,19
364,15
365,20
366,4
367,15
368,20
369,15
370,5
371,18
372,12
373,17
374,20
375,1
376,10
377,10
378,47
379,24
380,12
381,1
382,21
383,1
384,15
385,1
386,20
387,9
388,11
389,9
390,16
391,7
392,15
393,1
394,20
395,18
396,30
397,12
398,6
399,1
400,18
401,1
402,1
403,1
404,10
405,8
406,1
407,1
408,19
409,19
410,19
411,13
412,15
413,17
414,2
415,3
416,14
417,1
418,19
419,19
420,18
421,19
422,24
423,15
424,12
425,8
426,22
427,1
428,12
429,10
430,18
431,6
432,14
433,23
434,2
435,18
436,28
437,36
438,4
439,20
440,18
441,15
442,1
443,7
444,16
445,1
446,28
447,3
448,11
449,34
450,17
451,9
452,12
453,7
454,28
455,19
456,18
457,1
458,14
459,15
460,21
461,3
462,11
463,1
464,2
465,20
466,19
467,3
468,1
469,19
470,1
471,15
472,18
473,1
474,2
475,19
476,14
477,20
478,12
479,4
480,7
481,16
482,2
483,1
484,16
485,18
486,12
487,12
488,15
489,16
490,9
491,15
492,12
493,2
494,5
495,19
496,14
497,13
498,1
499,8
500,1
501,20
502,16
503,24
504,18
505,7
506,20
507,19
508,16
509,6
510,1
511,30
512,1
513,27
514,20
515,7
516,16
517,2
518,29
519,14
520,13
521,12
522,2
523,1
524,18
525,2
526,1
527,18
528,12
529,12
530,18
531,12
532,1
533,5
534,4
535,2
536,1
537,1
538,4
539,1
540,15
541,12
542,27
543,12
544,11
545,20
546,12
547,1
548,14
549,8
550,5
551,1
552,1
553,1
554,15
555,15
556,28
557,2
558,7
559,20
560,12
561,19
562,17
563,20
564,22
565,10
566,13
567,26
568,16
569,1
570,13
571,35
572,20
573,18
574,18
575,13
576,16
577,20
578,24
579,6
580,21
581,1
582,9
583,28
584,12
585,24
586,17
587,19
588,21
589,1
590,10
591,24
592,8
593,14
594,4
595,12
596,2
597,1
598,1
599,12
600,20
601,19
602,10
603,10
604,21
605,15
606,6
607,3
608,20
609,7
610,25
611,4
612,6
613,1
614,1
615,14
616,14
617,25
618,10
619,28
620,19
621,1
622,1
623,7
624,23
625,5
626,16
627,12
628,16
629,12
630,1
631,2
632,1
633,1
634,16
635,36
636,18
637,2
638,1
639,2
640,1
641,1
642,3
643,3
644,16
645,4
646,15
647,20
648,9
649,3
650,15
651,15
652,15
653,3
654,19
655,36
656,15
657,17
658,12
659,9
660,1
661,1
662,1
663,16
664,41
665,32
666,4
667,18
668,12
669,1
670,11
671,1
672,16
673,13
674,16
675,13
676,13
677,19
678,8
679,1
680,52
681,23
682,19
683,18
684,9
685,1
686,12
687,16
688,13
