Rooms,Monday,Tuesday,Wednesday,Thursday,Friday
"Arcadia Univ, Boyer Hall, Room AMP",69,1,92,1,68
"Arcadia Univ, Murphy Hall, Room 138",8,21,7,21,0
"Arcadia Univ, Boyer Hall, Room 004",14,16,0,0,0
"Online Course, Online Course, Room ASYNC",0,3,0,4,0
"Arcadia Univ, Boyer Hall, Room 215",1,9,1,9,1
"Arcadia Univ, Boyer Hall, Room 208",64,1,5,0,2
"Arcadia Univ, Taylor Hall, Room 314",2,4,2,4,1
"Arcadia Univ, Taylor Hall, Room 210",2,1,3,1,2
"Arcadia Univ, Easton Hall, Room 246",4,5,5,5,4
"Arcadia Univ, Spruance Fine Arts Center, Room 114",37,23,38,16,0
"Arcadia Univ, Landman Library, Room 002",19,1,20,1,18
"Arcadia Univ, Boyer Hall, Room 345",4,3,4,3,4
"Arcadia Univ, Brubaker Hall, Room 305",0,6,0,1,0
"Arcadia Univ, Boyer Hall, Room 310",30,11,35,23,21
"Arcadia Univ, Murphy Hall, Room 209",0,8,8,9,0
"Arcadia Univ, Dining Complex, Room 107",3,8,3,7,3
"Arcadia Univ, Boyer Hall, Room 205",0,12,1,34,0
"Arcadia Univ, Murphy Hall, Room 118",9,16,9,16,0
"Arcadia Univ, Spruance Fine Arts Center, Room 115",15,23,11,23,0
"Arcadia Univ, Brubaker Hall, Room 301",5,6,5,6,5
"Arcadia Univ, Brubaker Hall, Room 303",6,3,6,3,4
"Arcadia Univ, Dining Complex, Room 214A",2,3,2,3,2
"Arcadia Univ, Taylor Hall, Room 323",7,2,7,2,7
"Arcadia Univ, Boyer Hall, Room 303",1,31,13,26,1
"Arcadia Univ, Brubaker Hall, Room 201",0,0,1,8,0
"Arcadia Univ, Murphy Hall, Room 117",17,8,7,9,7
"Arcadia Univ, Brubaker Hall, Room 304",25,34,25,34,21
"Arcadia Univ, Taylor Hall, Room 316",0,4,0,4,1
"Arcadia Univ, Boyer Hall, Room 114",2,0,2,0,2
"Arcadia Univ, Landman Library, Room 003",1,2,0,18,0
"Arcadia Univ, Murphy Hall, Room 114",0,13,0,14,0
"Arcadia Univ, Spruance Fine Arts Center, Room 122",10,0,10,0,0
"Arcadia Univ, Easton Hall, Room 346",2,2,2,2,2
"Arcadia Univ, Easton Hall, Room 247",1,7,1,7,1
"Arcadia Univ, Landman Library, Room BCR",3,0,3,0,6
"Arcadia Univ, Easton Hall, Room 145",4,0,4,0,4
"Arcadia Univ, Spruance Fine Arts Center, Room 107",14,0,14,0,0
"Arcadia Univ, Boyer Hall, Room 311",0,1,1,11,0
"Arcadia Univ, Boyer Hall, Room 109",0,1,0,1,0
"Arcadia Univ, Boyer Hall, Room 305",0,0,1,8,11
"Arcadia Univ, Brubaker Hall, Room 202",3,1,5,1,3
"Arcadia Univ, Steel Building, Room ",68,2,38,1,36
"Arcadia Univ, Brubaker Hall, Room 101",0,0,12,0,0
"Arcadia Univ, Murphy Hall, Room STLR",0,0,0,1,16
"Off Campus, Off Campus, Room ",3,0,0,0,1
"Arcadia Univ, Brubaker Hall, Room 302",3,3,2,2,2
"Arcadia Univ, Easton Hall, Room 143",2,4,3,5,2
"Arcadia Univ, Boyer Hall, Room 206",0,3,1,1,0
"Arcadia Univ, Boyer Hall, Room 104",2,0,2,0,2
"Arcadia Univ, Murphy Hall, Room 211",9,0,9,1,0
"Arcadia Univ, Murphy Hall, Room ",0,1,0,1,0
"Arcadia Univ, Boyer Hall, Room 023",0,17,0,0,0
"Arcadia Univ, Arcadia Theatre, Room ",0,6,0,0,0
"Arcadia Univ, Brubaker Hall, Room 204",3,2,3,2,6
"Arcadia Univ, Boyer Hall, Room 105",5,5,5,5,5
"Arcadia Univ, Murphy Hall, Room 115",8,1,8,1,8
"Arcadia Univ, Easton Hall, Room 347",1,1,1,1,1
"Arcadia Univ, Boyer Hall, Room 214",3,1,3,1,3
"Arcadia Univ, Brubaker Hall, Room 203",1,2,1,2,1
"Off Campus, Center for Forensic Science Research &amp; Educat, Room ",1,0,0,2,0
"Arcadia Univ, Boyer Hall, Room 014",8,0,8,0,8
"Arcadia Univ, Taylor Hall, Room 208",1,2,1,2,1
"Arcadia Univ, Boyer Hall, Room 117",2,3,2,3,2
"Arcadia Univ, Boyer Hall, Room 008",0,1,0,1,0
"Arcadia Univ, Boyer Hall, Room 031",3,2,3,1,3
"Arcadia Univ, Boyer Hall, Room ",0,4,0,4,0
"Arcadia Univ, Spruance Fine Arts Center, Room 118",1,2,1,2,0
"Arcadia Univ, Easton Hall, Room 146",0,1,0,0,0
"Arcadia Univ, Boyer Hall, Room 019",1,1,0,0,0
"Arcadia Univ, Taylor Hall, Room 204",1,3,1,3,1
"Arcadia Univ, Landman Library, Room 210",1,0,1,0,1
"Off Campus, , Room ",0,1,0,1,0
"Arcadia Univ, Murphy Hall, Room 108",2,2,2,1,2
"Arcadia Univ, Knight Hall, Room SEM",0,2,0,2,0
"Arcadia Univ, Kistler Hall, Room ",1,0,1,0,0
"Arcadia Univ, Boyer Hall, Room 106",0,1,0,0,0
"Arcadia Univ, Taylor Hall, Room 108",1,1,1,1,0
